CustomerKey,RecencyDays,Frequency,Monetary,AvgOrderValue,AvgBasketSize,TenureDays,LastPurchase,FirstPurchase,Churned90,IsRepeat,CustomerID,Country,Cluster,Segment
1,325,12,77556.46,6463.038333333334,2184.8529411764707,400,2011-01-18 10:01:00,2009-12-14 08:34:00,1,1,12346,United Kingdom,0,Champions
2,1,8,5633.32,704.165,12.98814229249012,402,2011-12-07 15:52:00,2010-10-31 14:20:00,0,1,12347,Iceland,0,Champions
3,74,5,1658.4,331.67999999999995,58.78260869565217,362,2011-09-25 13:13:00,2010-09-27 14:59:00,0,1,12348,Finland,2,Loyal Customers
4,18,3,3678.69,1226.23,9.424418604651162,570,2011-11-21 09:51:00,2010-04-29 13:20:00,0,1,12349,Italy,2,Loyal Customers
5,309,1,294.4,294.4,12.25,0,2011-02-02 16:01:00,2011-02-02 16:01:00,1,0,12350,Norway,3,At Risk / Lapsed
6,374,1,300.93,300.93,12.428571428571429,0,2010-11-29 15:23:00,2010-11-29 15:23:00,1,0,12351,Unspecified,3,At Risk / Lapsed
7,35,9,1729.54,192.17111111111112,7.515789473684211,356,2011-11-03 14:37:00,2010-11-12 10:20:00,0,1,12352,Norway,2,Loyal Customers
8,203,2,406.76,203.38,8.833333333333334,204,2011-05-19 17:47:00,2010-10-27 12:44:00,1,1,12353,Bahrain,1,Promising
9,231,1,1079.4,1079.4,9.137931034482758,0,2011-04-21 13:11:00,2011-04-21 13:11:00,1,0,12354,Spain,1,Promising
10,213,2,947.61,473.805,15.514285714285714,353,2011-05-09 13:49:00,2010-05-21 11:59:00,1,1,12355,Bahrain,1,Promising
11,22,6,5611.73,935.2883333333332,24.287769784172664,401,2011-11-17 08:40:00,2010-10-11 09:42:00,0,1,12356,Portugal,2,Loyal Customers
12,32,2,17437.66,8718.83,22.32542372881356,355,2011-11-06 16:07:00,2010-11-16 10:05:00,0,1,12357,Switzerland,2,Loyal Customers
13,1,5,3447.07,689.414,14.432432432432432,730,2011-12-08 10:26:00,2009-12-08 07:59:00,0,1,12358,Austria,2,Loyal Customers
14,57,10,8873.39,887.3389999999999,7.566298342541437,676,2011-10-13 12:47:00,2009-12-05 13:32:00,0,1,12359,Cyprus,0,Champions
15,51,6,3612.89,602.1483333333333,11.5781990521327,603,2011-10-18 15:22:00,2010-02-22 09:32:00,0,1,12360,Austria,2,Loyal Customers
16,286,4,451.25,112.8125,9.24,394,2011-02-25 13:51:00,2010-01-26 14:37:00,1,1,12361,Belgium,1,Promising
17,2,10,4737.23,473.723,8.58203125,292,2011-12-06 15:40:00,2011-02-17 10:30:00,0,1,12362,Belgium,0,Champions
18,109,2,552.0,276.0,17.73913043478261,132,2011-08-22 10:18:00,2011-04-11 13:29:00,1,1,12363,Unspecified,1,Promising
