Country,CountryKey
Australia,1
Austria,2
Bahrain,3
Belgium,4
Bermuda,5
Brazil,6
Canada,7
Channel Islands,8
Cyprus,9
Czech Republic,10
Denmark,11
EIRE,12
European Community,13
Finland,14
France,15
Germany,16
Greece,17
Hong Kong,18
Iceland,19
Israel,20
Italy,21
Japan,22
Korea,23
Lebanon,24
Lithuania,25
Malta,26
Netherlands,27
Nigeria,28
Norway,29
Poland,30
Portugal,31
RSA,32
Saudi Arabia,33
Singapore,34
Spain,35
Sweden,36
Switzerland,37
Thailand,38
USA,39
United Arab Emirates,40
United Kingdom,41
Unspecified,42
West Indies,43
