CustomerID,FirstPurchase,LastPurchase,Orders,Revenue,Lines,Country,CustomerKey
-1,,,0,0.0,0,Guest,0
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,77556.46,34,United Kingdom,1
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,5633.32,253,Iceland,2
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,1658.3999999999999,46,Finland,3
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,3,3678.69,172,Italy,4
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,294.4,16,Norway,5
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,21,Unspecified,6
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,9,1729.54,95,Norway,7
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,406.76,24,Bahrain,8
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,58,Spain,9
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,947.61,35,Bahrain,10
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,5611.73,139,Portugal,11
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,2,17437.66,295,Switzerland,12
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,3447.07,74,Austria,13
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,8873.39,362,Cyprus,14
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,6,3612.89,211,Austria,15
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,451.25,25,Belgium,16
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,4737.23,256,Belgium,17
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,23,Unspecified,18
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1208.1,81,Belgium,19
12365,2011-02-21 13:51:00,2011-02-21 13:51:00,1,320.69,21,Cyprus,20
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,3,Cyprus,21
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,150.9,10,Denmark,22
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.6999999999999,18,Cyprus,23
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1511.15,90,Austria,24
