ReturnKey,DateKey,CustomerKey,ProductKey,CountryKey,Invoice,StockCode,ReturnQty,ReturnAmount
1,20091201,3923,1328,1,C489449,22087,12,35.400000000000006
2,20091201,3923,4427,1,C489449,85206A,6,9.899999999999999
3,20091201,3923,1191,1,C489449,21895,4,17.0
4,20091201,3923,1192,1,C489449,21896,6,12.600000000000001
5,20091201,3923,1324,1,C489449,22083,12,35.400000000000006
6,20091201,3923,1170,1,C489449,21871,12,15.0
7,20091201,3923,4060,1,C489449,84946,12,15.0
8,20091201,3923,4097,1,C489449,84970S,24,20.4
9,20091201,3923,1331,1,C489449,22090,12,35.400000000000006
10,20091201,5175,4823,41,C489459,90200A,3,12.75
11,20091201,5175,4826,41,C489459,90200D,3,12.75
12,20091201,5175,4824,41,C489459,90200B,3,12.75
13,20091201,5175,4827,41,C489459,90200E,3,12.75
14,20091201,5175,4825,41,C489459,90200C,3,12.75
15,20091201,5175,4796,41,C489459,90185C,3,12.75
16,20091201,5175,4795,41,C489459,90185B,3,12.75
17,20091201,5175,4481,41,C489459,90003C,3,11.25
18,20091201,5175,4482,41,C489459,90003D,3,11.25
19,20091201,5175,4480,41,C489459,90003B,3,11.25
20,20091201,5175,4845,41,C489459,90209C,3,6.300000000000001
21,20091201,5175,4843,41,C489459,90209A,3,6.300000000000001
22,20091201,5175,4626,41,C489459,90082D,2,12.7
23,20091201,0,1057,41,489464,21733,96,0.0
24,20091201,0,3247,41,489463,71477,240,0.0
25,20091201,0,4301,41,489467,85123A,192,0.0
26,20091201,938,1388,41,C489476,22149,6,12.600000000000001
27,20091201,3616,894,41,C489503,21540,2,8.5
28,20091201,3616,887,41,C489503,21533,1,4.95
29,20091201,1548,4258,41,C489504,85083,6,15.299999999999999
30,20091201,3072,386,41,C489518,20892,2,25.5
31,20091201,3072,4217,41,C489518,85048,1,7.95
32,20091201,3072,1378,41,C489518,22138,1,4.95
33,20091201,3225,653,41,C489524,21258,1,12.75
34,20091201,3733,486,41,C489527,21041,3,8.850000000000001
35,20091201,3733,584,41,C489527,21173,12,19.799999999999997
36,20091201,3733,4304,41,C489527,85124A,6,15.299999999999999
37,20091201,4311,4217,41,C489528,85048,1,7.95
38,20091201,2373,3360,41,C489530,72803A,1,4.25
39,20091201,269,2898,15,C489534,35832,1,5.95
40,20091201,3405,1420,41,C489538,22183,4,27.0
41,20091201,1921,2827,41,C489543,35400,2,17.9
42,20091201,1402,2827,41,C489549,35400,2,15.9
43,20091201,0,4217,41,C489551,85048,1,6.95
44,20091201,1182,2809,41,C489553,35004S,1,6.35
45,20091201,1182,2804,41,C489553,35001W,6,20.94
46,20091201,1401,4212,41,C489554,85042,3,12.75
47,20091201,1401,2801,41,C489554,35001B,2,5.9
48,20091201,4550,655,41,C489555,21260,6,19.5
49,20091201,1164,4632,41,C489563,90088,24,20.4
50,20091201,1164,4634,41,C489563,90090,24,20.4
51,20091201,1164,4628,41,C489563,90084,12,10.2
52,20091201,1164,4637,41,C489563,90093,24,20.4
53,20091201,1164,4629,41,C489563,90085,81,68.85
54,20091201,1164,4636,41,C489563,90092,24,20.4
55,20091201,1164,4631,41,C489563,90087,48,40.8
56,20091201,1164,4636,41,C489563,90092,3,2.55
57,20091201,1164,4634,41,C489563,90090,12,10.2
58,20091201,1164,4671,41,C489565,90125A,12,25.200000000000003
59,20091201,2620,1348,41,C489568,22107,1,3.75
60,20091201,2620,3483,41,C489568,82483,1,5.95
61,20091201,2620,1378,41,C489568,22138,1,4.95
62,20091201,2620,622,41,C489568,21218,1,3.75
63,20091201,3573,3448,41,C489570,79323W,1,6.75
64,20091201,3573,25,41,C489570,15056N,1,5.95
65,20091201,3573,4279,41,C489570,85103,1,6.75
66,20091201,3573,388,41,C489570,20894,1,2.95
67,20091201,1662,3039,41,C489577,37503,3,29.849999999999998
68,20091201,1662,1367,41,C489577,22127,48,60.0
