CountryKey,Revenue,Orders,Units,Country
41,17189769.6,36212,9337677,United Kingdom
12,640175.31,598,340025,EIRE
27,549951.01,216,383721,Netherlands
16,388401.32,756,225667,Germany
15,317203.44,602,273742,France
1,168417.16,89,104074,Australia
35,98789.22,147,50466,Spain
37,94247.99,85,52720,Switzerland
36,86319.14,99,88537,Sweden
11,68560.19,42,237852,Denmark
4,57303.27,143,34873,Belgium
31,48868.51,86,28187,Portugal
22,47138.39,33,33327,Japan
8,44693.86,54,21475,Channel Islands
29,42362.48,39,27138,Norway
21,29348.97,60,15398,Italy
14,25243.34,55,14266,Finland
9,24484.26,35,10946,Cyprus
2,20297.010000000002,40,11499,Austria
17,18711.19,18,7716,Greece
18,13666.45,9,7014,Hong Kong
34,13158.16,8,6987,Singapore
20,11328.81,10,5538,Israel
42,10927.16,24,6729,Unspecified
30,10462.45,28,5817,Poland
40,10273.23,12,7316,United Arab Emirates
39,7920.01,16,5259,USA
25,6553.74,6,2958,Lithuania
19,5633.32,8,3286,Iceland
26,4757.34,7,2505,Malta
7,4332.1,7,3656,Canada
32,3369.03,3,1969,RSA
3,3109.79,10,1339,Bahrain
38,3070.54,2,2552,Thailand
24,1905.58,2,458,Lebanon
6,1411.87,2,545,Brazil
5,1253.1399999999999,1,2798,Bermuda
13,1159.25,3,490,European Community
23,1118.51,2,700,Korea
10,786.74,2,670,Czech Republic
43,536.41,1,395,West Indies
33,145.92,1,80,Saudi Arabia
28,140.39000000000001,2,103,Nigeria
