YearMonth,Revenue,Orders,Customers,Units,Lines,AOV
2009-12,798732.03,1671,952,425262,43342,477.9964272890485
2010-01,621503.43,1089,718,390474,30222,570.710220385675
2010-02,538132.64,1189,771,381627,27818,452.5926324642557
2010-03,762148.53,1647,1051,525053,39620,462.74956284153006
2010-04,646901.86,1437,939,366084,32680,450.1752679192763
2010-05,643835.64,1484,965,395447,33235,433.8515094339623
2010-06,697834.87,1615,1035,406253,38226,432.0958947368421
2010-07,633839.42,1509,925,337573,31960,420.0393770709079
2010-08,674842.89,1402,910,471952,31974,481.34300285306705
2010-09,869727.16,1789,1136,583377,40425,486.15268865287874
2010-10,1095413.63,2244,1492,619532,56727,488.1522415329768
2010-11,1431116.84,2721,1606,724294,74800,525.9525321572952
2010-12,1184572.43,1551,884,537522,62457,763.7475370728562
2011-01,670639.46,1081,739,386745,33909,620.3880296022202
2011-02,508081.54,1093,757,282635,26749,464.8504483074108
2011-03,690591.84,1440,973,376198,35317,479.57766666666663
2011-04,515899.66,1236,853,307664,28755,417.3945469255663
2011-05,740472.33,1668,1054,394667,35745,443.92825539568344
2011-06,738233.99,1525,990,388141,35529,484.08786229508195
2011-07,688802.67,1452,946,399302,38205,474.38200413223143
2011-08,724708.16,1340,933,420709,34120,540.8269850746269
2011-09,1029245.38,1819,1259,568719,48714,565.8303353490929
2011-10,1104063.97,2006,1361,619613,58322,550.3808424725822
2011-11,1453265.98,2751,1660,746975,81750,528.2682588149763
2011-12,614699.25,816,614,312652,24758,753.3079044117648
