ProductKey,Revenue,Orders,Units,StockCode,Description
1639,344069.3,3918,27536,22423,REGENCY CAKESTAND 3 TIER
4301,262768.47000000003,5365,96027,85123A,WHITE HANGING HEART T-LIGHT HOLDER
4273,183136.14,3989,98175,85099B,JUMBO BAG RED RETROSPOT
2799,168469.6,1,80995,23843,"PAPER CRAFT , LITTLE BIRDIE"
3148,149109.35,2674,28362,47566,PARTY BUNTING
3991,131817.81,2807,81590,84879,ASSORTED COLOUR BIRD ORNAMENT
1327,123002.89,2018,36534,22086,PAPER CHAIN KIT 50'S CHRISTMAS
3441,85157.56,1135,16763,79321,CHILLI LIGHTS
2354,81700.92000000001,247,78033,23166,MEDIUM CERAMIC TOP STORAGE JAR
1434,80888.34,2322,89860,22197,SMALL POPCORN HOLDER
1608,77049.38,2245,39809,22386,JUMBO BAG PINK POLKADOT
3594,74380.06999999999,756,32498,84347,ROTATING SILVER ANGELS T-LIGHT HLDR
259,72001.35,3056,40752,20725,LUNCH BAG RED RETROSPOT
560,69295.72,634,19945,21137,BLACK RECORD COVER FRAME
4275,68382.73,1830,37072,85099F,JUMBO BAG STRAWBERRY
228,67812.32,1725,9968,20685,DOORMAT RED RETROSPOT
3198,67629.75,1664,10157,48138,DOORMAT UNION FLAG
2276,66870.03,994,30739,23084,RABBIT NIGHT LIGHT
1149,66348.54999999999,1527,6263,21843,RED RETROSPOT CAKE STAND
1355,63362.350000000006,1583,12420,22114,HOT WATER BOTTLE TEA AND SYMPATHY
3484,62778.72,1176,11046,82484,WOOD BLACK BOARD ANT WHITE FINISH
1224,62257.72,2329,29489,21931,JUMBO STORAGE BAG SUKI
2109,61671.840000000004,1427,19580,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS
1713,61466.47,924,3861,22502,PICNIC BASKET WICKER SMALL
1353,60644.32,1721,11532,22112,CHOCOLATE HOT WATER BOTTLE
950,60549.54,1292,6931,21621,VINTAGE UNION JACK BUNTING
4274,60103.56,1868,31153,85099C,JUMBO  BAG BAROQUE BLACK WHITE
25,58403.79,1033,11366,15056N,EDWARDIAN PARASOL NATURAL
1627,58149.35,2192,27669,22411,JUMBO SHOPPER VINTAGE RED PAISLEY
1683,55772.020000000004,1952,18508,22470,HEART OF WICKER LARGE
1426,54547.380000000005,1299,18350,22189,CREAM HEART CARD HOLDER
401,53335.66,2030,18952,20914,SET/5 RED RETROSPOT LID GLASS BOWLS
1415,53105.59,1816,40572,22178,VICTORIAN GLASS HANGING T-LIGHT
1379,53085.61,2093,10649,22139,RETROSPOT TEA SET CERAMIC 11 PC
616,52948.8,3118,96472,21212,PACK OF 72 RETROSPOT CAKE CASES
952,52082.93,530,7196,21623,VINTAGE UNION JACK MEMOBOARD
1352,51936.86,1689,10163,22111,SCOTTIE DOG HOT WATER BOTTLE
1057,51441.92,1760,17960,21733,RED HANGING HEART T-LIGHT HOLDER
4060,51148.47,1769,37919,84946,ANTIQUE SILVER TEA GLASS ETCHED
1682,51088.159999999996,2151,29013,22469,HEART OF WICKER SMALL
588,50818.920000000006,1810,25028,21181,PLEASE ONE PERSON METAL SIGN
1331,50723.600000000006,1703,16798,22090,PAPER BUNTING RETROSPOT
633,50660.48,2435,38901,21232,STRAWBERRY CERAMIC TRINKET BOX
1222,50300.82,1619,25937,21929,JUMBO BAG PINK VINTAGE PAISLEY
3209,49542.47,1349,7835,48194,DOORMAT HEARTS
1055,49508.34,1537,29696,21731,RED TOADSTOOL LED NIGHT LIGHT
1672,48423.25000000001,2046,15687,22457,NATURAL SLATE HEART CHALKBOARD
24,47828.19,857,9600,15056BL,EDWARDIAN PARASOL BLACK
1075,47774.740000000005,2066,7796,21754,HOME BUILDING BLOCK WORD
3524,47479.83,1145,11757,84029E,RED WOOLLY HOTTIE WHITE HEART.
878,47194.58,1122,7046,21523,DOORMAT FANCY FONT HOME SWEET HOME
3206,47026.85,1282,7395,48187,DOORMAT NEW ENGLAND
1221,47023.18,1542,24743,21928,JUMBO BAG SCANDINAVIAN PAISLEY
1581,46584.99,1742,32635,22355,CHARLOTTE BAG SUKI DESIGN
3247,46519.13,809,15719,71477,COLOUR GLASS. STAR T-LIGHT HOLDER
261,46283.89,2351,27042,20727,LUNCH BAG  BLACK SKULL.
3205,46050.99,983,6855,48185,DOORMAT FAIRY CAKE
1378,45882.01,1914,9366,22138,BAKING SET 9 PIECE RETROSPOT
1552,44943.43,1391,15655,22326,ROUND SNACK BOXES SET OF4 WOODLAND
1210,44680.05,1025,38088,21915,RED  HARMONICA IN BOX
3486,44667.100000000006,1973,15601,82494L,WOODEN FRAME ANTIQUE WHITE
586,44282.23,1659,20856,21175,GIN + TONIC DIET METAL SIGN
3543,43921.51,328,1129,84078A,SET/4 WHITE RETRO STORAGE CUBES
1605,43836.86,2398,25403,22383,LUNCH BAG SUKI  DESIGN
2473,43148.18,1146,8466,23298,SPOTTY BUNTING
262,42695.64,2067,24838,20728,LUNCH BAG CARS BLUE
3482,42396.03,2006,17141,82482,WOODEN PICTURE FRAME WHITE FINISH
2390,42030.340000000004,1231,20485,23203,JUMBO BAG VINTAGE DOILY
249,41332.89,1314,21170,20713,JUMBO BAG OWLS
1324,41256.41,1401,13961,22083,PAPER CHAIN KIT RETROSPOT
1554,40407.96,1159,14602,22328,ROUND SNACK BOXES SET OF 4 FRUITS
4136,40250.98,1085,10746,84997D,PINK 3 PIECE MINI DOTS CUTLERY SET
2158,39639.31,1159,9289,22960,JAM MAKING SET WITH JARS
4243,39173.65,929,3128,85066,CREAM SWEETHEART MINI CHEST
1903,39061.14,1424,13314,22699,ROSES REGENCY TEACUP AND SAUCER
3485,39004.8,1274,4853,82486,WOOD S/3 CABINET ANT WHITE FINISH
260,38883.729999999996,1926,22301,20726,LUNCH BAG WOODLAND
1835,38691.7,1368,21193,22629,SPACEBOY LUNCH BOX
854,38585.35,1385,7872,21485,RETROSPOT HEART HOT WATER BOTTLE
579,38428.21,1425,20063,21166,COOK WITH WINE METAL SIGN
2459,38133.64,728,5487,23284,DOORMAT KEEP CALM AND COME IN
1924,38108.89,1385,7483,22720,SET OF 3 CAKE TINS PANTRY DESIGN
248,37988.94,1415,17936,20712,JUMBO BAG WOODLAND ANIMALS
