CustomerID,FirstPurchase,LastPurchase,Orders,Revenue,Lines,Country
12346,2009-12-14 08:34:00,2011-01-18 10:01:00,12,77556.46,34,United Kingdom
12347,2010-10-31 14:20:00,2011-12-07 15:52:00,8,5633.32,253,Iceland
12348,2010-09-27 14:59:00,2011-09-25 13:13:00,5,1658.3999999999999,46,Finland
12349,2010-04-29 13:20:00,2011-11-21 09:51:00,3,3678.69,172,Italy
12350,2011-02-02 16:01:00,2011-02-02 16:01:00,1,294.4,16,Norway
12351,2010-11-29 15:23:00,2010-11-29 15:23:00,1,300.93,21,Unspecified
12352,2010-11-12 10:20:00,2011-11-03 14:37:00,9,1729.54,95,Norway
12353,2010-10-27 12:44:00,2011-05-19 17:47:00,2,406.76,24,Bahrain
12354,2011-04-21 13:11:00,2011-04-21 13:11:00,1,1079.4,58,Spain
12355,2010-05-21 11:59:00,2011-05-09 13:49:00,2,947.61,35,Bahrain
12356,2010-10-11 09:42:00,2011-11-17 08:40:00,6,5611.73,139,Portugal
12357,2010-11-16 10:05:00,2011-11-06 16:07:00,2,17437.66,295,Switzerland
12358,2009-12-08 07:59:00,2011-12-08 10:26:00,5,3447.07,74,Austria
12359,2009-12-05 13:32:00,2011-10-13 12:47:00,10,8873.39,362,Cyprus
12360,2010-02-22 09:32:00,2011-10-18 15:22:00,6,3612.89,211,Austria
12361,2010-01-26 14:37:00,2011-02-25 13:51:00,4,451.25,25,Belgium
12362,2011-02-17 10:30:00,2011-12-06 15:40:00,10,4737.23,256,Belgium
12363,2011-04-11 13:29:00,2011-08-22 10:18:00,2,552.0,23,Unspecified
12364,2011-08-19 15:24:00,2011-12-02 10:22:00,4,1208.1,81,Belgium
12365,2011-02-21 13:51:00,2011-02-21 13:51:00,1,320.69,21,Cyprus
12366,2010-03-16 10:28:00,2010-03-16 10:28:00,1,500.24,3,Cyprus
12367,2011-12-05 16:48:00,2011-12-05 16:48:00,1,150.9,10,Denmark
12368,2010-03-21 15:56:00,2010-03-21 15:56:00,1,917.6999999999999,18,Cyprus
12369,2010-03-08 08:09:00,2010-10-22 13:13:00,3,1511.15,90,Austria
12370,2010-02-09 09:41:00,2011-10-19 14:51:00,7,3956.56,197,Cyprus
12371,2010-03-04 18:23:00,2011-10-11 10:43:00,4,3347.38,163,Switzerland
12372,2011-02-16 12:46:00,2011-09-29 12:12:00,3,1196.04,49,Denmark
12373,2010-02-04 12:08:00,2011-02-01 13:10:00,3,927.6500000000001,48,Austria
12374,2010-04-30 14:01:00,2011-11-14 15:37:00,3,2669.22,81,Austria
12375,2011-09-02 14:23:00,2011-11-29 10:36:00,2,377.5,15,Finland
12376,2010-10-18 08:42:00,2010-11-15 12:15:00,2,383.15,11,Switzerland
12377,2010-04-29 15:34:00,2011-01-28 15:45:00,4,3266.32,150,Switzerland
12378,2010-05-26 14:07:00,2011-08-02 10:34:00,2,5416.32,301,Switzerland
12379,2010-06-23 12:49:00,2011-09-19 10:09:00,4,1470.22,77,Belgium
12380,2010-02-15 12:05:00,2011-11-18 11:27:00,8,7210.65,267,Belgium
12381,2011-08-12 09:57:00,2011-12-05 12:44:00,3,1474.81,82,Norway
12383,2010-12-22 14:28:00,2011-06-08 08:02:00,5,1628.56,94,Belgium
12384,2011-08-10 11:23:00,2011-11-11 08:39:00,2,425.27000000000004,25,Switzerland
12385,2010-11-25 15:14:00,2010-11-25 15:14:00,1,1668.4,64,Belgium
12386,2010-12-08 09:53:00,2011-01-06 12:37:00,2,660.8,18,Australia
12387,2010-10-20 16:27:00,2010-10-20 16:27:00,1,143.94,9,Australia
12388,2010-05-06 12:54:00,2011-11-24 12:30:00,8,3901.11,146,Australia
12389,2010-02-22 10:15:00,2010-11-02 11:52:00,3,1433.33,49,Australia
12390,2011-09-21 09:33:00,2011-09-21 09:33:00,1,504.84000000000003,31,Belgium
12391,2010-02-15 10:12:00,2011-11-18 12:07:00,6,2724.84,267,Cyprus
12392,2010-04-27 14:04:00,2010-04-27 14:04:00,1,234.75000000000003,7,Australia
12393,2010-10-07 13:49:00,2011-09-28 15:41:00,6,2399.4500000000003,107,Australia
12394,2011-05-06 14:01:00,2011-10-07 08:08:00,2,1080.48,25,Belgium
12395,2010-04-16 10:16:00,2011-11-20 15:21:00,15,4551.27,238,Belgium
12396,2010-02-03 13:22:00,2010-02-03 13:22:00,1,931.43,65,RSA
12397,2011-07-27 14:21:00,2011-11-04 09:52:00,2,2214.9,124,Belgium
12398,2011-10-25 10:27:00,2011-10-25 10:27:00,1,1435.66,84,Switzerland
12399,2010-03-05 08:45:00,2011-08-12 13:15:00,7,1842.3,103,Belgium
12400,2010-10-21 13:45:00,2010-10-21 13:45:00,1,205.25,11,Australia
12401,2011-02-09 13:50:00,2011-02-09 13:50:00,1,69.3,4,Belgium
