Invoice,InvoiceDate,CustomerID,Country,Lines,Units,Revenue,IsGuest
489434,2009-12-01 07:45:00,13085.0,United Kingdom,8,166,505.3,0
489435,2009-12-01 07:46:00,13085.0,United Kingdom,4,60,145.79999999999998,0
489436,2009-12-01 09:06:00,13078.0,United Kingdom,19,193,630.33,0
489437,2009-12-01 09:08:00,15362.0,United Kingdom,23,145,310.75,0
489438,2009-12-01 09:24:00,18102.0,United Kingdom,17,826,2286.24,0
489439,2009-12-01 09:28:00,12682.0,France,18,216,372.3,0
489440,2009-12-01 09:43:00,18087.0,United Kingdom,2,16,50.4,0
489441,2009-12-01 09:44:00,18087.0,United Kingdom,4,102,344.34000000000003,0
489442,2009-12-01 09:46:00,13635.0,United Kingdom,23,275,382.37,0
489443,2009-12-01 09:50:00,14110.0,United Kingdom,7,120,285.06,0
489445,2009-12-01 09:57:00,17519.0,United Kingdom,19,280,308.44,0
489446,2009-12-01 10:06:00,13758.0,United Kingdom,27,382,996.1,0
489448,2009-12-01 10:18:00,15413.0,United Kingdom,4,192,570.24,0
489450,2009-12-01 10:36:00,16321.0,Australia,9,100,196.10000000000002,0
489460,2009-12-01 10:46:00,16167.0,United Kingdom,15,977,485.79,0
489461,2009-12-01 10:49:00,17865.0,United Kingdom,26,379,589.33,0
489462,2009-12-01 10:49:00,17592.0,United Kingdom,13,38,148.3,0
489465,2009-12-01 10:52:00,13767.0,United Kingdom,19,408,1197.8000000000002,0
489488,2009-12-01 10:59:00,17238.0,United Kingdom,30,80,251.1,0
489505,2009-12-01 11:17:00,15712.0,United Kingdom,10,64,255.5,0
489514,2009-12-01 11:21:00,15311.0,United Kingdom,32,326,823.02,0
489517,2009-12-01 11:34:00,16329.0,United Kingdom,30,114,250.06,0
489519,2009-12-01 11:37:00,17700.0,United Kingdom,38,247,696.73,0
489520,2009-12-01 11:41:00,14911.0,EIRE,30,293,733.63,0
489522,2009-12-01 11:45:00,15998.0,United Kingdom,104,409,700.31,0
489523,2009-12-01 11:46:00,12931.0,United Kingdom,1,800,1160.0,0
489525,2009-12-01 11:49:00,,United Kingdom,2,2,1.4,1
489526,2009-12-01 11:50:00,12533.0,Germany,43,478,821.92,0
489529,2009-12-01 11:51:00,17984.0,United Kingdom,47,187,212.63,0
489531,2009-12-01 11:57:00,14871.0,United Kingdom,14,54,145.0,0
489532,2009-12-01 11:58:00,13394.0,United Kingdom,20,353,304.53000000000003,0
489533,2009-12-01 12:02:00,16011.0,United Kingdom,20,60,181.5,0
489536,2009-12-01 12:13:00,16393.0,United Kingdom,115,199,341.02,0
489537,2009-12-01 12:14:00,14040.0,United Kingdom,59,250,633.33,0
489539,2009-12-01 12:18:00,15061.0,United Kingdom,17,1598,2887.14,0
489540,2009-12-01 12:18:00,12913.0,United Kingdom,5,188,537.96,0
489542,2009-12-01 12:19:00,15061.0,United Kingdom,2,264,387.6,0
489544,2009-12-01 12:20:00,14341.0,United Kingdom,14,226,281.82,0
489545,2009-12-01 12:22:00,17804.0,United Kingdom,32,92,124.95,0
489546,2009-12-01 12:30:00,14156.0,EIRE,33,212,584.5,0
489547,2009-12-01 12:30:00,13599.0,United Kingdom,22,595,641.45,0
489548,2009-12-01 12:32:00,,United Kingdom,51,249,382.40999999999997,1
489550,2009-12-01 12:33:00,14156.0,EIRE,23,232,482.3,0
489552,2009-12-01 12:36:00,17063.0,United Kingdom,25,129,278.61,0
489556,2009-12-01 12:47:00,15719.0,United Kingdom,58,174,377.15,0
489557,2009-12-01 12:52:00,12490.0,France,20,438,531.94,0
489558,2009-12-01 12:54:00,15793.0,United Kingdom,4,154,291.58000000000004,0
489559,2009-12-01 12:55:00,17056.0,United Kingdom,8,26,128.60000000000002,0
489560,2009-12-01 12:56:00,13526.0,United Kingdom,30,1585,859.0999999999999,0
489561,2009-12-01 12:57:00,14654.0,United Kingdom,27,273,246.86,0
489562,2009-12-01 13:07:00,17998.0,United Kingdom,39,107,229.6,0
489564,2009-12-01 13:13:00,13526.0,United Kingdom,14,326,322.9,0
489566,2009-12-01 13:16:00,17742.0,United Kingdom,8,35,218.54999999999998,0
489567,2009-12-01 13:19:00,15326.0,United Kingdom,20,150,307.8,0
489569,2009-12-01 13:20:00,14478.0,United Kingdom,18,312,282.28,0
489571,2009-12-01 13:29:00,15967.0,United Kingdom,30,50,156.71,0
489572,2009-12-01 13:29:00,17611.0,United Kingdom,83,273,507.49,0
489573,2009-12-01 13:29:00,15051.0,United Kingdom,32,306,580.02,0
489574,2009-12-01 13:31:00,13097.0,United Kingdom,64,309,544.73,0
489575,2009-12-01 13:37:00,13590.0,United Kingdom,22,300,367.28000000000003,0
489576,2009-12-01 13:38:00,15984.0,United Kingdom,17,178,319.66,0
489579,2009-12-01 13:41:00,16887.0,United Kingdom,34,177,219.82,0
489580,2009-12-01 13:43:00,12921.0,United Kingdom,8,276,261.0,0
489581,2009-12-01 13:47:00,15945.0,United Kingdom,10,137,124.83000000000001,0
489582,2009-12-01 13:47:00,14543.0,United Kingdom,9,125,293.95,0
489584,2009-12-01 13:48:00,18037.0,United Kingdom,1,1,21.95,0
489585,2009-12-01 13:49:00,15662.0,United Kingdom,4,67,105.85,0
489586,2009-12-01 13:50:00,15380.0,United Kingdom,6,98,263.42,0
489590,2009-12-01 14:14:00,13110.0,United Kingdom,27,87,362.78000000000003,0
489593,2009-12-01 14:19:00,12836.0,United Kingdom,29,93,407.97,0
489594,2009-12-01 14:19:00,15005.0,United Kingdom,50,180,319.38,0
489596,2009-12-01 14:27:00,,United Kingdom,1,2,17.0,1
489597,2009-12-01 14:28:00,,United Kingdom,501,971,4450.63,1
489598,2009-12-01 14:35:00,16620.0,United Kingdom,50,575,822.37,0
489599,2009-12-01 14:40:00,12758.0,Portugal,79,1403,2454.68,0
489600,2009-12-01 14:43:00,,United Kingdom,30,38,364.33000000000004,1
489601,2009-12-01 14:44:00,,United Kingdom,25,35,268.81,1
489602,2009-12-01 14:45:00,,United Kingdom,32,41,380.72,1
489603,2009-12-01 14:46:00,,United Kingdom,20,28,269.16,1
489604,2009-12-01 14:47:00,,United Kingdom,24,39,333.0,1
489606,2009-12-01 14:48:00,17961.0,United Kingdom,1,1,2.1,0
