StockCode,Description,Orders,Units,Revenue,AvgPrice
10002,INFLATABLE POLITICAL GLOBE,362,8831,7093.65,0.9895854922279792
10002R,ROBOT PENCIL SHARPNER,3,4,20.57,5.133333333333333
10080,GROOVY CACTUS INFLATABLE,27,315,129.29,0.505
10109,BENDY COLOUR PENCILS,1,4,1.68,0.42
10120,DOGGY RUBBER,73,679,145.89,0.23894736842105263
10123C,HEARTS WRAPPING TAPE,63,651,255.06,0.7884375
10123G,ARMY CAMO WRAPPING TAPE,16,2251,165.55999999999997,0.8205882352941177
10124A,SPOTS ON RED BOOKCOVER TAPE,18,62,26.04,0.42
10124G,ARMY CAMO BOOKCOVER TAPE,10,38,16.38,0.4581818181818182
10125,MINI FUNKY DESIGN TAPES,167,2148,1755.65,0.9329213483146067
10133,COLOURING PENCILS BROWN TUBE,289,3871,2402.97,0.7512457912457913
10134,COLOURING PENCILS BROWN TUBE,52,625,721.13,1.2907407407407407
10135,COLOURING PENCILS BROWN TUBE,324,4271,4640.1,1.416587537091988
10138,ASSORTED COLOUR JUMBO PEN,21,261,111.22,0.4776190476190476
11001,ASSTD DESIGN RACING CAR PEN,251,4882,7504.9,1.881564885496183
15030,FAN BLACK FRAME,26,254,73.66,0.29
15034,PAPER POCKET TRAVELING FAN,255,10182,1422.45,0.3604198473282443
15036,ASSORTED COLOURS SILK FAN,991,44365,33041.55,0.9932303090727816
15039,SANDALWOOD FAN,306,5117,4360.03,1.1445980707395498
15044A,PINK PAPER PARASOL,250,4964,13210.85,3.5974
15044B,BLUE PAPER PARASOL,189,1673,4655.94,3.554322916666667
15044C,PURPLE PAPER PARASOL,231,970,3042.03,3.825598290598291
15044D,RED PAPER PARASOL,227,1597,4565.56,3.449217391304348
15056BL,EDWARDIAN PARASOL BLACK,857,9600,47828.19,6.249672686230248
15056N,EDWARDIAN PARASOL NATURAL,1033,11366,58403.79,6.818092979127135
15056P,EDWARDIAN PARASOL PINK,344,2526,12479.470000000001,6.228534482758621
15056bl,EDWARDIAN PARASOL BLACK,87,126,1583.52,12.572258064516129
15056n,EDWARDIAN PARASOL NATURAL,116,180,2259.44,12.556694214876034
15056p,EDWARDIAN PARASOL PINK,38,50,628.72,12.58048780487805
15058A,BLUE POLKADOT GARDEN PARASOL,148,476,3153.73,8.550536912751678
15058B,PINK POLKADOT GARDEN PARASOL,156,438,3327.67,9.684999999999999
15058C,ICE CREAM DESIGN GARDEN PARASOL,122,470,2753.72,9.667049180327869
15059A,ENGLISH ROSE EDWARDIAN PARASOL,4,509,1567.0,10.5
15060B,FAIRY CAKE DESIGN UMBRELLA,449,1437,6554.83,5.546355748373101
15060b,FAIRY CAKE DESIGN UMBRELLA,5,5,41.81,8.362
16008,SMALL FOLDING SCISSOR(POINTED EDGE),85,3143,423.46,0.15732558139534883
16010,FOLDING CAMPING SCISSOR W/KNIF & S,4,44,5.279999999999999,0.12
16011,ANIMAL STICKERS,112,3858,808.98,0.20956140350877195
16012,FOOD/DRINK SPONGE STICKERS,83,2925,613.05,0.20941176470588235
16014,SMALL CHINESE STYLE SCISSOR,93,30370,9839.4,0.39525773195876285
16015,MEDIUM CHINESE STYLE SCISSOR,65,1573,711.88,0.48727272727272725
16016,LARGE CHINESE STYLE SCISSOR,106,2338,1891.1,0.8405454545454545
16020C,CLEAR STATIONERY BOX SET,39,160,134.5,0.843
16033,MINI HIGHLIGHTER PENS,50,15121,1544.52,0.11639999999999999
16043,POP ART PUSH DOWN RUBBER,13,2145,180.29999999999998,0.31846153846153846
16044,POP-ART FLUORESCENT PENS,3,6193,389.22,0.3
16045,POPART WOODEN PENCILS ASST,74,9312,429.44,0.049600000000000005
16046,TEATIME PEN CASE & PENS,59,10057,1224.35,0.9428571428571428
16047,POP ART PEN CASE & PENS,31,10612,1054.7,0.9583870967741934
16048,TEATIME ROUND PENCIL SHARPENER,105,3461,537.06,0.40254716981132077
16049,TEATIME GEL PENS ASST,32,3169,560.48,0.381875
16050,TEATIME PENCIL WITH RUBBER,8,151,46.45,0.4
16051,TEATIME PENCIL W STAMP ASST,4,941,84.69,0.4325
16052,TEATIME PUSH DOWN RUBBER,35,850,283.0,0.576111111111111
16053,POPART COL BALLPOINT PEN ASST,10,4313,185.73,0.174
16054,POPART RECT PENCIL SHARPENER ASST,39,1210,159.0,0.17384615384615382
16119,FUNKY GIRL ADDRESS BOOK,8,273,130.71,1.0325
16151A,FLOWERS HANDBAG blue and orange,5,52,72.5,2.25
16156L,"WRAP, CAROUSEL",36,950,399.0,0.42
16156N,"WRAP, FRIENDSHIP ON GREEN",56,1475,619.5,0.42
16156S,WRAP PINK FAIRY CAKES,419,16761,6600.62,0.41536643026004727
16161C,WRAP SPEED DEMONS,2,450,45.0,0.1
16161E,WRAP BOUDOIR,9,750,75.0,0.1
16161G,WRAP BAD HAIR DAY,33,975,97.5,0.1
16161M,WRAP  PINK FLOCK,39,1075,449.5,0.418
16161P,WRAP ENGLISH ROSE,440,13223,5445.9,0.4189569160997732
16161U,WRAP SUKI AND FRIENDS,318,10076,4105.92,0.4180625
16162L,THE KING GIFT BAG,30,8101,570.4300000000001,0.7496666666666667
16162M,THE KING GIFT BAG 25x24x12cm,13,88,36.96,0.42
16168M,FUNKY MONKEY GIFT BAG MEDIUM,101,1713,525.01,0.5951923076923077
16168S,FUNKY MONKEY GIFT BAG SMALL,11,1283,126.82999999999998,0.31363636363636366
16169A,WRAP CHRISTMAS DECOUPAGE,1,25,10.5,0.42
16169C,WRAP BLUE REINDEER,43,1350,567.0,0.42
16169D,WRAP WINTER FOREST,9,250,105.0,0.42
16169E,WRAP 50'S  CHRISTMAS,149,4563,1892.46,0.41919999999999996
16169F,WRAP BLIZZARD,34,975,409.5,0.42
16169G,WRAP ROMANTIC DECOUPAGE,1,25,10.5,0.42
16169K,WRAP FOLK ART,60,2100,669.25,0.36344262295081964
16169M,WRAP DAISY CARPET,59,2060,640.95,0.35483333333333333
16169N,WRAP BLUE RUSSIAN FOLKART,56,2050,636.75,0.35140350877192983
16169P,WRAP GREEN RUSSIAN FOLKART,48,1750,533.75,0.3577083333333333
16192,PINK BALLET OPENING CUBE BOX,1,3,12.899999999999999,4.3
16201A,PASTEL PINK PHOTO ALBUM,9,101,213.37,3.7744444444444443
16201B,PASTEL BLUE PHOTO ALBUM,5,34,81.1,2.838
16202A,PASTEL PINK PHOTO ALBUM,21,662,290.45,4.4852380952380955
16202B,PASTEL BLUE PHOTO ALBUM,22,1039,528.56,4.7690909090909095
16202C,BEIGE PHOTO ALBUM,12,97,230.59,3.9766666666666666
16202E,BLACK PHOTO ALBUM,14,82,162.73,3.395
16206B,RED PURSE WITH PINK HEART,16,96,116.4,1.23125
16207A,PINK STRAWBERRY HANDBAG,76,143,423.53000000000003,3.001578947368421
16207B,PINK HEART RED HANDBAG,46,265,457.65000000000003,2.654782608695652
16212,FUNKY GIRLZ ASST MAGNETIC MEMO PAD,37,366,287.01,1.6778048780487806
16215,FUNKY GIRLZ MAGNETIC TO DO LIST,3,8,5.2,0.65
16216,LETTER SHAPE PENCIL SHARPENER,88,4158,371.64,0.21955056179775279
16218,CARTOON  PENCIL SHARPENERS,98,4632,454.52,0.5034653465346535
16219,HOUSE SHAPE PENCIL SHARPENER,128,3358,501.25,0.5645736434108527
16225,RATTLE SNAKE EGGS,165,1527,1295.18,1.6124561403508773
16235,RECYCLED PENCIL WITH RABBIT ERASER,310,5906,1354.5,0.31030959752321985
16236,KITTY PENCIL ERASERS,260,2666,599.31,0.3061623616236162
16237,SLEEPING CAT ERASERS,580,10935,2337.0299999999997,0.29630182421227197
16238,PARTY TIME PENCIL ERASERS,236,2523,579.68,0.3113821138211382
16239,BALLERINA HEART DECORATION.,21,347,492.17,2.6557142857142857
16243B,BROWN COZY SQUARE PHOTO ALBUM,8,212,441.77,5.49625
16244A,MAXWELL 2 TONE PINK 60 PAGE PHOTO A,28,186,479.40999999999997,4.073571428571428
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,28,345,765.02,3.872068965517241
16245A,PINK MINI STATIONERY SET W CASE,7,11,13.75,1.25
16248B,BLUE HOLE PUNCH,12,81,101.25,1.25
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,40,941,305.66,1.2665853658536586
16256B,FLOWER PENCIL/RUBBER+5 MINI PENCILS,35,524,232.35,0.5841666666666667
16256C,HEARTS PENCIL/RUBBER+5 MINI PENCILS,10,169,70.98,0.42000000000000004
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,101,1068,379.28999999999996,0.5243396226415095
16258B,DAISY ERASERS IN BAG,15,1016,221.06,0.36
16259,PIECE OF CAMO STATIONERY SET,55,5473,766.09,0.14618181818181816
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,23,1211,299.34999999999997,0.27956521739130435
17003,BROCADE RING PURSE,456,71394,14948.75,0.30286315789473683
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,6,46,96.60000000000001,2.1
17011A,ORIGAMI VANILLA INCENSE+FLOWER,12,261,179.56,2.7708333333333335
17011B,ORIGAMI JASMINE INCENSE+FLOWER,2,19,11.100000000000001,1.2
17011C,ORIGAMI LAVENDER INCENSE+FLOWER,2,335,221.4,2.475
17011D,ORIGAMI ROSE INCENSE+FLOWER,4,209,135.70000000000002,1.8375
17011E,ORIGAMI OPIUM SCENT INCENSE+FLOWER,1,124,80.60000000000001,0.65
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,20,386,340.41,2.2195238095238095
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,95,731,818.7099999999999,2.2341414141414138
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,126,728,885.02,2.204885496183206
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,113,861,962.9499999999999,2.033589743589743
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,116,522,663.74,1.9547457627118643
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,29,270,314.35999999999996,2.4920588235294114
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,107,591,693.1999999999999,1.9060714285714284
